Entity,Year,Liver cancer,Kidney cancer,Lip and oral cavity cancer,"Tracheal, bronchus, and lung cancer",Larynx cancer,Gallbladder and biliary tract cancer,Malignant skin melanoma,Leukemia,Hodgkin lymphoma,Multiple myeloma,Other neoplasms,Breast cancer,Prostate cancer,Thyroid cancer,Stomach cancer,Bladder cancer,Uterine cancer,Ovarian cancer,Cervical cancer,Brain and central nervous system cancer,Deaths - Non-Hodgkin lymphoma - Sex: Both - Age: All Ages (Number),Deaths - Pancreatic cancer - Sex: Both - Age: All Ages (Number),Deaths - Esophageal cancer - Sex: Both - Age: All Ages (Number),Deaths - Testicular cancer - Sex: Both - Age: All Ages (Number),Deaths - Nasopharynx cancer - Sex: Both - Age: All Ages (Number),Deaths - Other pharynx cancer - Sex: Both - Age: All Ages (Number),Deaths - Colon and rectum cancer - Sex: Both - Age: All Ages (Number),Deaths - Non-melanoma skin cancer - Sex: Both - Age: All Ages (Number),Deaths - Mesothelioma - Sex: Both - Age: All Ages (Number)
Afghanistan,60135,32122,2735,3138,33345,9749,6673,1967,48395,4987,3976,547,24601,12485,2486,88087,8946,2517,3737,14051,21268,39859,5569,19658,284,2347,1261,20452,1076,342
African Region (WHO),60135,485294,107770,182683,1006992,145592,116914,69179,638543,98904,106314,30393,1068936,1040987,60173,870154,235388,97772,176010,1177249,237194,324414,319669,722222,14780,106336,52927,721384,39463,23872
Albania,60135,7838,1709,1168,24409,2158,1053,665,3843,470,601,278,5658,7089,437,11344,927,991,1194,1646,5210,1410,4844,1383,248,348,585,7199,861,116
Algeria,60135,12664,4785,5205,62744,9688,22750,1596,24294,6380,6258,1327,50467,23508,3256,33714,11238,2212,7910,18181,11927,27454,18896,6621,466,15553,4144,42134,2384,327
American Samoa,60135,71,0,0,279,0,0,0,30,0,6,0,154,163,1,165,18,50,49,51,30,30,48,16,0,19,0,150,0,0
Andorra,60135,267,105,52,1088,30,84,46,190,0,94,45,269,311,20,280,130,41,68,64,203,177,291,110,0,0,30,736,27,48
Angola,60135,5744,2266,4511,27765,3358,2026,1402,15034,1369,2193,558,20627,15318,936,20835,5146,2015,2434,30093,5775,8229,4921,18915,545,1359,1199,15126,801,460
Antigua and Barbuda,60135,78,37,36,201,33,37,26,97,0,60,0,333,706,12,266,57,56,61,138,39,74,102,67,0,0,30,303,18,0
Argentina,60135,22790,63920,21081,357484,32096,61124,15549,70335,6326,21589,10761,214926,157289,7544,142812,53111,20734,43029,75017,41435,56302,143100,76553,6538,3076,6695,289912,10425,4495
Armenia,60135,5349,1546,1309,37390,3600,1121,493,5482,213,603,150,17312,5863,432,17519,5521,2096,3132,5181,6121,1484,9115,1822,228,251,471,14388,558,815
